name,cube,rel,var,den,n=10,n=100,n=1000,n=10000,n=100000
UC_16VUC_0,7,0,10,1.1523437500e-01,7.0604394499e-01,9.9999518247e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
C1_CO_CTST_A,54,0,6,1.4062500000e-01,7.8030146796e-01,9.9999973802e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
OLATCHVUC_6,1,0,1,5.0000000000e-01,9.9902343750e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
UC_17VUC_0,8,0,10,1.6015625000e-01,8.2542383615e-01,9.9999997371e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
CTST_C2_CO_B,6,0,10,6.1523437500e-02,4.7005071532e-01,9.9825279806e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
UC_17VUC_0,4,0,10,2.2460937500e-02,2.0321489216e-01,8.9686357251e-01,9.9999999986e-01,1.0000000000e+00,1.0000000000e+00
UC_18VUC_0,7,0,9,1.6015625000e-01,8.2542383615e-01,9.9999997371e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
CTST_C2_CO_B,56,0,10,1.5722656250e-01,8.1923747851e-01,9.9999996275e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
UC_18VUC_0,4,0,9,4.4921875000e-02,3.6847727725e-01,9.8991003140e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
UC_19VUC_0,10,0,10,1.8261718750e-01,8.6687641226e-01,9.9999999825e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
OLATCH_G1L,1,0,1,5.0000000000e-01,9.9902343750e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
UC_19VUC_0,4,0,8,8.9843750000e-02,6.0991472470e-01,9.9991841777e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
OLATCH_G1L,1,0,1,5.0000000000e-01,9.9902343750e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
OLATCH_G2L,1,0,1,5.0000000000e-01,9.9902343750e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
TCOMB_RA2_R2CVAD1NF_B,6,0,8,1.2890625000e-01,7.4843571864e-01,9.9999898494e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
OLATCH_G2L,1,0,1,5.0000000000e-01,9.9902343750e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
TCOMB_RA2_R2CVAD2NF_B,6,0,7,1.3281250000e-01,7.5949168737e-01,9.9999935241e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
TESTLVIINMUXVND1,2,0,3,2.5000000000e-01,9.4368648529e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
C1VCO1_UC_9VUC_0_A,1,0,5,3.1250000000e-02,2.7202384333e-01,9.5820045528e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
TCOMB_FE_BF,6,0,7,2.5781250000e-01,9.4928500857e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
TCOMB_RA2_R2CVAD2NF_B,4,0,6,6.0937500000e-01,9.9991728194e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
TESTLVIINMUXVND1,2,0,3,2.5000000000e-01,9.4368648529e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
C1VCO2_UC_8VUC_0_A,1,0,5,3.1250000000e-02,2.7202384333e-01,9.5820045528e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
C1VCO1_UC_9VUC_0_A,2,0,5,9.3750000000e-02,6.2633691437e-01,9.9994693576e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
UC_16_UC_16VUC_0_B,4,0,10,2.2460937500e-02,2.0321489216e-01,8.9686357251e-01,9.9999999986e-01,1.0000000000e+00,1.0000000000e+00
TCOMB_FE_BF,6,0,7,7.4218750000e-01,9.9999870270e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
UC_9_C1VCIIA_A,1,0,5,3.1250000000e-02,2.7202384333e-01,9.5820045528e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
