name,cube,rel,var,den,n=10,n=100,n=1000,n=10000,n=100000
g9317_g10485_A,100,57,30,1.7112493515e-04,1.7099321842e-03,1.6968345941e-02,1.5729605825e-01,8.1938648139e-01,9.9999996306e-01
g2396_II6337_D,2,27,25,2.9802322388e-08,2.9802318391e-07,2.9802278423e-06,2.9801878747e-05,2.9797882381e-04,2.9757957993e-03
g2689_II6630_C,1,11,11,4.8828125000e-04,4.8720976218e-03,4.7666556569e-02,3.8639292465e-01,9.9243335102e-01,1.0000000000e+00
g421_g4778_A,100,152,93,4.8412755132e-04,4.8307420411e-03,4.7270711285e-02,3.8383764009e-01,9.9211227708e-01,1.0000000000e+00
g501_g4779_A,100,152,95,4.8272684216e-04,4.8167957746e-03,4.7137187721e-02,3.8297355309e-01,9.9200096143e-01,1.0000000000e+00
g476_g4804_A,100,152,94,4.8384815454e-04,4.8279602201e-03,4.7244079074e-02,3.8366537888e-01,9.9209019752e-01,1.0000000000e+00
g682_g5255_A,19,12,11,4.6533203125e-01,9.9809084289e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
g243_g6819_A,2,3,2,2.5000000000e-01,9.4368648529e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
g4807_g11492_B,100,82,49,1.1698893517e-02,1.1101831029e-01,6.9173220264e-01,9.9999225036e-01,1.0000000000e+00,1.0000000000e+00
g981_g2760_A,100,183,42,6.3920835499e-02,4.8343403657e-01,9.9864712438e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
g766_g3281_A,4,11,11,3.2714843750e-02,2.8295694732e-01,9.6407040487e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
g351_g4497_A,1,4,3,1.2500000000e-01,7.3692442384e-01,9.9999841217e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
g225_g4839_A,3,36,7,1.3281250000e-01,7.5949168737e-01,9.9999935241e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
g162_g5694_A,3,7,6,3.9062500000e-01,9.9293932323e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
g572_g6238_A,2,28,3,3.7500000000e-01,9.9090505298e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
g278_g6352_A,3,7,6,1.0937500000e-01,6.8598614042e-01,9.9999067845e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
g348_g6624_A,2,159,3,3.7500000000e-01,9.9090505298e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
g363_g6654_A,2,159,3,3.7500000000e-01,9.9090505298e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
g736_g7721_A,58,21,21,7.8067779541e-03,7.5381541411e-02,5.4330569905e-01,9.9960531018e-01,1.0000000000e+00,1.0000000000e+00
g677_g8401_A,24,21,12,4.5678710938e-01,9.9776282131e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
g4_g9592_A,2,263,10,9.7656250000e-04,9.7228212237e-03,9.3082656509e-02,6.2357620194e-01,9.9994288230e-01,1.0000000000e+00
g913_g9641_A,2,287,10,9.7656250000e-04,9.7228212237e-03,9.3082656509e-02,6.2357620194e-01,9.9994288230e-01,1.0000000000e+00
g5938_g10505_B,100,155,69,3.7322044373e-02,3.1638706734e-01,9.7771037810e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
g3829_g10634_B,72,35,34,1.1315917969e-01,6.9907605264e-01,9.9999391070e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
g3863_g10690_B,65,28,27,3.0010986328e-01,9.7179677760e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
g3586_g10742_B,82,40,39,3.0963134766e-01,9.7540704977e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
g4840_g10766_B,74,39,38,7.5119018555e-02,5.4200736902e-01,9.9959394496e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
g4545_g10818_B,100,57,41,1.9639110565e-01,8.8768252055e-01,9.9999999968e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
g5446_g11465_B,100,159,44,1.8725651782e-01,8.7424219357e-01,9.9999999901e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
g1696_II5591_A,1,4,4,6.2500000000e-02,4.7553952495e-01,9.9842555447e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
g2792_II6664_A,100,36,24,2.7322769165e-03,2.6989265012e-02,2.3936497838e-01,9.3517191754e-01,1.0000000000e+00,1.0000000000e+00
g4109_II7876_A,4,8,8,5.8593750000e-02,4.5327268444e-01,9.9761379514e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
g4251_II8589_A,100,184,122,1.1707349168e-01,7.1209741822e-01,9.9999608749e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
g4286_II8662_A,100,184,115,1.1707348615e-01,7.1209740019e-01,9.9999608749e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
g4619_II8770_A,12,12,9,1.4648437500e-01,7.9482957411e-01,9.9999986783e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
g1145_II8797_A,12,12,9,1.4648437500e-01,7.9482957411e-01,9.9999986783e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
g5233_II9947_A,6,10,10,6.1523437500e-02,4.7005071532e-01,9.9825279806e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
g11369_II17297_A,100,183,50,3.4260819666e-04,3.4208046726e-03,3.3686235972e-02,2.9012536876e-01,9.6750499854e-01,1.0000000000e+00
g1419_II5689_A,1,19,19,1.9073486328e-06,1.9073322620e-05,1.9071685641e-04,1.9055326149e-03,1.8892756223e-02,1.7364849504e-01
g722_g6772_B,38,31,30,2.2882595658e-05,2.2880239543e-04,2.2856696169e-03,2.2623030520e-02,2.0453511537e-01,8.9855979292e-01
g853_g2528_C,100,216,163,1.2990236282e-03,1.2914562924e-02,1.2189298612e-01,7.2743225515e-01,9.9999773669e-01,1.0000000000e+00
g1486_II5649_B,1,19,19,1.9073486328e-06,1.9073322620e-05,1.9071685641e-04,1.9055326149e-03,1.8892756223e-02,1.7364849504e-01
g506_g4784_A,100,152,96,4.8308447003e-04,4.8203565402e-03,4.7171280605e-02,3.8319428606e-01,9.9202953090e-01,1.0000000000e+00
g511_g4788_A,100,152,93,4.8247352242e-04,4.8142735586e-03,4.7113037865e-02,3.8281715282e-01,9.9198066279e-01,1.0000000000e+00
g632_g4892_A,3,5,5,3.4375000000e-01,9.8518528967e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
g976_g2091_A,100,183,40,6.6192120314e-02,4.9583192370e-01,9.9893890705e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
g643_g4836_A,4,9,6,2.3437500000e-01,9.3079124123e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
g9_g3819_B,2,4,4,1.8750000000e-01,8.7461843207e-01,9.9999999904e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
g554_g6194_A,2,40,3,3.7500000000e-01,9.9090505298e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
g575_g6245_A,2,40,3,3.7500000000e-01,9.9090505298e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
g178_g6246_A,3,7,6,3.9062500000e-01,9.9293932323e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
g275_g6347_A,3,7,6,1.0937500000e-01,6.8598614042e-01,9.9999067845e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
g281_g6359_A,3,7,6,1.0937500000e-01,6.8598614042e-01,9.9999067845e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
g664_g7623_A,67,21,21,7.8067779541e-03,7.5381541411e-02,5.4330569905e-01,9.9960531018e-01,1.0000000000e+00,1.0000000000e+00
g682_g7704_A,61,21,21,7.8067779541e-03,7.5381541411e-02,5.4330569905e-01,9.9960531018e-01,1.0000000000e+00,1.0000000000e+00
g709_g8073_A,1,12,8,3.9062500000e-03,3.8382958384e-02,3.2388353489e-01,9.8003749113e-01,1.0000000000e+00,1.0000000000e+00
g910_g9618_A,2,261,10,9.7656250000e-04,9.7228212237e-03,9.3082656509e-02,6.2357620194e-01,9.9994288230e-01,1.0000000000e+00
g3586_g10680_B,60,31,30,1.2199401855e-01,7.2774570134e-01,9.9999776258e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
g3863_g10682_B,72,34,33,1.1334228516e-01,6.9969679148e-01,9.9999403515e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
g3586_g10752_B,72,36,35,7.5119018555e-02,5.4200736902e-01,9.9959394496e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
g5446_g11637_B,100,182,58,4.1367043741e-04,4.1290123172e-03,4.0531316349e-02,3.3883775979e-01,9.8403825291e-01,1.0000000000e+00
g1696_II5592_A,1,4,4,6.2500000000e-02,4.7553952495e-01,9.9842555447e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
g1776_II6447_B,1,6,6,1.5625000000e-02,1.4570915024e-01,7.9295843252e-01,9.9999985526e-01,1.0000000000e+00,1.0000000000e+00
g2792_II6665_A,100,36,23,2.6555061340e-03,2.6239970958e-02,2.3348715628e-01,9.2998447283e-01,1.0000000000e+00,1.0000000000e+00
g3287_II6836_A,3,7,7,5.4687500000e-02,4.3015858903e-01,9.9638972681e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
g4286_II8663_A,100,184,116,1.1707348895e-01,7.1209740930e-01,9.9999608749e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
g4607_II8738_A,12,12,9,1.4648437500e-01,7.9482957411e-01,9.9999986783e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
g4619_II8771_A,12,12,9,1.4648437500e-01,7.9482957411e-01,9.9999986783e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
g1137_II8778_B,3,12,9,9.7656250000e-03,9.3474586547e-02,6.2519978120e-01,9.9994529861e-01,1.0000000000e+00,1.0000000000e+00
g4630_II8778_A,12,12,9,1.4648437500e-01,7.9482957411e-01,9.9999986783e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
g4677_II8803_A,4,8,7,1.1718750000e-01,7.1246895791e-01,9.9999613769e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
g10359_II15878_A,100,153,98,2.8408505023e-04,2.8372215579e-03,2.8012700537e-02,2.4732775386e-01,9.4164755975e-01,1.0000000000e+00
g11496_II17567_A,100,53,45,3.0173186213e-02,2.6389143116e-01,9.5328904649e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
