name,type,cube,rel,var,den
n1859gat_n1915gat_A,sa1,2,10,9.7656250000e-04
n2671gat_n2669gat_A,sa1,30,30,1.8879707158e-01
n1499gat_n1645gat_A,sa1,30,19,5.6076049805e-04
n1559gat_n1639gat_B,sa0,10,19,5.3405761719e-05
n2856gat_n2854gat_A,sa0,30,25,1.5614318848e-01
n271gat_II311_A,sa1,30,18,2.7724075317e-01
n721gat_II401_A,sa1,30,9,5.6640625000e-02
n340gat_II440_A,sa1,30,9,5.6640625000e-02
n919gat_n917gat_A,sa0,30,9,5.6640625000e-02
n865gat_n863gat_A,sa0,30,9,5.6640625000e-02
n491gat_n489gat_A,sa1,30,9,5.6640625000e-02
n2784gat_n78gat_A,sa0,30,33,9.4874529168e-04
n289gat_n287gat_A,sa0,1,0,0.0000000000e+00
n288gat_n188gat_A,sa1,30,37,1.8948222417e-01
n680gat_n678gat_A,sa1,30,9,5.6640625000e-02
n686gat_n456gat_A,sa1,30,9,5.6640625000e-02
n586gat_n565gat_A,sa1,30,9,5.6640625000e-02
n289gat_n286gat_A,sa1,30,33,5.3092241287e-03
n188gat_n187gat_C,sa1,30,22,1.6508102417e-03
n2629gat_n2486gat_A,sa1,30,31,1.3045966625e-03
n2470gat,sa0,2,1,5.0000000000e-01
n1606gat,sa0,2,2,2.5000000000e-01
n1201gat_II1923_A,sa1,30,8,1.1328125000e-01
n667gat_n665gat_A,sa0,30,9,5.6640625000e-02
n2342gat_II2213_A,sa1,17,3,2.5000000000e-01
n2560gat,sa0,2,1,5.0000000000e-01
n2341gat_II2242_A,sa0,17,3,2.5000000000e-01
n2202gat_II2263_A,sa1,17,3,2.5000000000e-01
n2532gat,sa1,2,1,5.0000000000e-01
n2632gat,sa0,2,1,5.0000000000e-01
n2541gat,sa1,2,1,5.0000000000e-01
n1878gat_n1831gat_C,sa1,2,3,1.2500000000e-01
n1848gat_n1783gat_A,sa0,30,33,1.6256304691e-02
n1918gat_n1865gat_B,sa0,7,13,2.9296875000e-03
n2345gat_n1988gat_A,sa0,30,32,6.8250326440e-03
n1798gat_n1920gat_C,sa1,30,31,8.6135230958e-04
n1717gat_n1859gat_A,sa1,30,29,4.1964009404e-02
n1798gat_n1922gat_A,sa1,19,30,2.0635463297e-03
n1713gat,sa1,6,5,9.6875000000e-01
n1986gat_n1663gat_A,sa0,18,19,1.0681152344e-04
n1658gat_n1655gat_C,sa1,10,19,5.3405761719e-05
n1991gat_n1667gat_A,sa0,30,29,8.8137388229e-04
n1658gat_n1728gat_C,sa0,8,19,5.3405761719e-05
n1797gat_n1571gat_C,sa0,18,19,1.0681152344e-04
n1658gat_n1729gat_A,sa1,10,19,5.3405761719e-05
n1790gat_n1929gat_B,sa1,30,27,9.5507740974e-02
n2307gat,sa1,2,1,5.0000000000e-01
n1849gat_n1709gat_A,sa1,22,29,3.1109519303e-02
n2328gat_n2498gat_B,sa1,30,19,7.0404052734e-02
n2199gat_n2197gat_A,sa0,30,18,4.2533111572e-01
n2199gat_n2196gat_A,sa1,30,19,2.3132324219e-02
n2199gat_n2637gat_B,sa0,30,17,4.4763183594e-01
n388gat_n386gat_A,sa0,16,18,1.5548706055e-02
n2093gat_II4000_B,sa1,5,10,1.4648437500e-02
n2613gat,sa1,30,6,4.5312500000e-01
n2486gat_n2483gat_C,sa1,4,14,1.0375976563e-03
n1596gat_n1594gat_A,sa0,30,19,7.7606201172e-02
n2985gat_n1761gat_A,sa1,30,16,2.5231933594e-01
n2985gat_n1760gat_C,sa0,30,24,2.5687217712e-01
n639gat_n636gat_C,sa1,30,22,4.1275024414e-03
n288gat_n186gat_C,sa1,7,14,1.7089843750e-03
n753gat_n749gat_A,sa1,17,7,1.2500000000e-01
n484gat_n477gat_C,sa0,30,9,5.6640625000e-02
n485gat_n478gat_A,sa0,30,9,5.6640625000e-02
n482gat_n479gat_C,sa0,30,9,5.6640625000e-02
n483gat_n479gat_B,sa0,30,9,5.6640625000e-02
n915gat_n909gat_C,sa1,30,9,5.6640625000e-02
n856gat_n655gat_A,sa1,3,4,1.8750000000e-01
n373gat_n868gat_B,sa0,3,4,1.8750000000e-01
n856gat_n962gat_A,sa0,3,4,1.8750000000e-01
n373gat_n959gat_A,sa0,3,4,1.8750000000e-01
n951gat_n945gat_C,sa1,30,9,5.6640625000e-02
n952gat_n946gat_B,sa0,30,9,5.6640625000e-02
n950gat_n947gat_B,sa1,30,9,5.6640625000e-02
n373gat_n967gat_A,sa1,3,4,1.8750000000e-01
n856gat_n439gat_A,sa1,3,4,1.8750000000e-01
n373gat_n966gat_B,sa1,3,4,1.8750000000e-01
n856gat_n790gat_A,sa1,3,4,1.8750000000e-01
n938gat_n934gat_A,sa0,30,9,5.6640625000e-02
n942gat_n936gat_C,sa1,30,9,5.6640625000e-02
n943gat_n937gat_A,sa1,30,9,5.6640625000e-02
n735gat_n729gat_C,sa1,30,9,5.6640625000e-02
n591gat_n587gat_A,sa1,30,9,5.6640625000e-02
n591gat_n588gat_A,sa0,30,9,5.6640625000e-02
n693gat_n690gat_C,sa1,30,9,5.6640625000e-02
n694gat_n690gat_B,sa1,30,9,5.6640625000e-02
n696gat_n690gat_A,sa0,30,9,5.6640625000e-02
n573gat_n568gat_B,sa1,30,9,5.6640625000e-02
n852gat_n794gat_A,sa1,30,20,1.8700408936e-01
n851gat_n965gat_B,sa1,30,20,1.8700408936e-01
n785gat_n780gat_B,sa0,30,9,5.6640625000e-02
n784gat_n781gat_A,sa1,30,9,5.6640625000e-02
n852gat_n649gat_B,sa1,30,20,1.8700408936e-01
n2573gat_n2569gat_A,sa1,9,3,1.2500000000e-01
n2649gat_n2647gat_A,sa0,5,4,2.5000000000e-01
n1990gat_n2079gat_C,sa1,11,21,3.0517578125e-05
n1659gat_n1647gat_B,sa0,30,29,1.4319308102e-03
n1659gat_n1646gat_B,sa1,10,19,5.3405761719e-05
n1845gat_n1847gat_B,sa1,30,26,1.8549937010e-01
n2439gat_n1964gat_B,sa1,20,20,1.3442230225e-01
n1893gat_n1962gat_B,sa0,30,23,3.4618377686e-03
n219gat_n869gat_A,sa1,3,11,1.4648437500e-03
n219gat_n969gat_A,sa0,30,19,1.8216705322e-01
n219gat_n968gat_B,sa0,30,18,1.8173217773e-01
n2214gat_II4023_C,sa0,2,10,9.7656250000e-04
n2289gat_n1467gat_A,sa1,30,26,7.8392028809e-04
n1774gat_n1686gat_A,sa0,30,25,2.2496938705e-02
n721gat_n989gat_A,sa0,30,18,1.1814117432e-02
n823gat_n995gat_A,sa0,30,18,2.0599365234e-03
n926gat_n980gat_B,sa1,30,18,5.0811767578e-03
n926gat_n981gat_A,sa1,30,19,4.9781799316e-03
n741gat_n987gat_A,sa0,30,21,1.0339736938e-02
n670gat_n977gat_A,sa0,30,24,5.2380561829e-04
n2784gat_n77gat_B,sa0,6,15,4.8828125000e-04
n297gat_n197gat_B,sa0,30,29,1.7472207546e-03
n2585gat_n2583gat_B,sa1,17,6,2.5000000000e-01
n1719gat_n1794gat_B,sa0,11,13,1.8920898438e-02
n1635gat_n1796gat_B,sa1,3,13,3.6621093750e-04
n1595gat_n1459gat_A,sa1,23,17,5.4473876953e-03
n2989gat_n1602gat_C,sa1,30,20,7.7484130859e-02
n3108gat,sa1,6,6,2.5000000000e-01
n3109gat,sa0,6,5,7.5000000000e-01
n3117gat,sa1,30,13,1.0351562500e-01
n3118gat,sa0,30,20,5.9860229492e-02
n3126gat,sa1,2,1,5.0000000000e-01
n3127gat,sa0,2,1,5.0000000000e-01
n3135gat,sa1,30,15,8.0203247070e-01
n3136gat,sa0,18,15,4.0039062500e-02
n3144gat,sa1,30,22,1.2466430664e-02
n3145gat,sa0,19,8,7.1093750000e-01
n2029gat,sa0,2,1,5.0000000000e-01
n3064gat,sa0,30,20,4.3663787842e-01
n3055gat,sa0,30,18,4.3182373047e-01
n3063gat,sa1,30,19,4.5543670654e-01
n2920gat,sa0,4,14,2.4414062500e-03
n3037gat,sa0,30,20,3.6426544189e-02
n2910gat,sa1,30,16,6.3317871094e-01
n2911gat,sa0,30,29,3.9178952575e-03
n2901gat,sa1,30,16,5.2758789063e-01
n3054gat,sa1,30,19,2.5482177734e-02
n3036gat,sa1,13,15,3.9672851563e-02
n1516gat,sa0,2,10,9.7656250000e-04
n1363gat,sa0,2,1,5.0000000000e-01
n2163gat,sa1,30,28,8.7316552550e-01
n2037gat,sa1,2,1,5.0000000000e-01
n2119gat,sa0,2,1,5.0000000000e-01
n1632gat,sa1,6,5,9.6875000000e-01
n3072gat,sa1,2,1,5.0000000000e-01
n3081gat,sa1,4,12,1.8774414063e-01
n1641gat,sa1,29,19,8.0108642578e-04
n1642gat,sa0,10,19,5.3405761719e-05
n1605gat,sa1,30,19,8.0108642578e-04
n1614gat,sa1,30,19,4.3487548828e-04
n1318gat,sa0,5,5,1.5625000000e-01
n1380gat,sa1,3,4,6.2500000000e-02
n3073gat,sa0,2,1,5.0000000000e-01
n1624gat,sa0,2,5,3.1250000000e-02
n1623gat,sa1,6,5,4.3750000000e-01
n2730gat,sa1,2,2,2.5000000000e-01
n2317gat,sa0,2,2,2.5000000000e-01
n1821gat,sa1,2,2,2.5000000000e-01
n3091gat,sa0,30,37,1.3362728059e-03
n2721gat,sa1,30,27,3.4135878086e-03
n54gat,sa0,30,9,5.6640625000e-02
n3090gat,sa1,2,8,3.9062500000e-03
