fault name,cube num,test relation PI,BDD Var num
g445_g5177_A,3,54,15
g516_g5178_A,3,54,16
g269_g5236_A,3,59,13
g4950_II7970_C,3,61,15
g4980_II8119_D,3,57,15
g4980_II8128_D,3,57,15
g2497_II3952_B,100,97,65
g866_g1407_B,2,74,2
g193_g4367_A,20,12,11
g390_g4179_A,26,14,13
g754_g1609_B,70,113,18
g766_g1706_A,9,67,7
g548_g3760_A,19,36,19
g923_g4429_A,5,32,10
g188_g5380_A,26,18,12
g366_g5481_A,2,14,10
g2846_II4783_A,6,7,7
g3437_II4939_A,21,11,11
g3593_II5187_B,100,17,15
g3567_II5196_A,100,17,15
g3541_II6499_B,100,173,35
g5194_II7097_A,13,16,14
g5662_II7529_A,38,23,23
g69_II7556_A,61,23,23
g84_II7577_A,93,23,23
g269_g2356_B,100,74,44
g293_g2953_B,100,82,58
g536_g5159_A,3,57,16
g297_g5245_A,3,57,13
g574_g5364_A,4,16,14
g6212_II7979_B,2,54,10
g6015_II7979_A,2,54,12
g6212_II7988_B,2,54,10
g6015_II7988_A,2,54,12
g6194_II8079_A,2,59,10
g4993_II8081_C,3,59,16
g4894_II8137_A,3,59,13
g2497_II3954_A,100,97,64
g496_g6702_B,63,18,18
g918_g1419_B,5,16,4
g729_g1706_C,8,67,7
g774_g1716_B,7,67,7
g445_g4395_A,21,22,21
g766_g5324_C,21,59,10
g374_g5483_A,2,14,10
g528_g6238_A,100,24,23
g524_g6269_A,100,24,23
g736_g2095_C,100,142,33
g719_g1573_B,100,142,34
g729_g1573_A,100,142,35
g4915_II7972_A,3,61,12
g4915_II7981_A,3,54,12
g4915_II7990_A,3,54,12
g3593_II5189_A,100,17,15
g3961_II5766_A,100,17,15
g3955_II6185_B,100,17,15
g4199_II6194_A,9,10,10
g5194_II7098_A,13,16,14
g5666_II7534_B,50,23,23
g862_g1387_A,30,99,31
g980_g1575_A,17,105,22
g179_g3554_B,27,24,23
g669_g5225_A,3,59,13
g4877_II8080_D,3,59,15
g5975_II8117_C,28,57,21
g5958_II8117_B,26,57,21
g4993_II8119_B,3,57,16
g5975_II8126_C,14,57,18
g5958_II8126_B,14,57,18
g4993_II8128_B,3,57,16
g5975_II8135_C,9,59,17
g5958_II8135_B,9,59,17
g2397_II3874_B,100,97,65
g2544_II3988_B,100,97,65
g386_g4176_A,26,14,13
g809_g1628_B,71,123,18
g791_g2267_B,9,54,8
g791_g2294_B,7,54,9
g830_g2949_A,5,11,6
g345_g3479_A,5,11,6
g349_g3484_A,5,11,6
g338_g3558_A,5,11,6
g554_g3765_A,19,36,19
g394_g5428_A,54,23,23
g382_g5485_A,2,14,10
g465_g6248_A,100,24,23
g774_g1582_B,100,152,32
g784_g1582_A,100,152,34
g3961_II5767_A,100,17,15
g3955_II6187_A,100,17,15
g4199_II6195_A,9,10,10
g996_g1560_A,7,105,16
g965_g1518_B,3,105,12
g5666_II7536_A,56,23,23
g5669_II7541_B,64,23,23
g478_g1763_A,100,24,22
g716_g4486_A,9,18,12
g4967_II8081_D,3,59,16
g4993_II8137_C,3,59,16
g5975_II8208_C,60,61,28
g5958_II8208_B,58,61,28
g2397_II3876_A,100,97,65
g269_g2944_A,29,74,26
g5672_II7548_B,67,23,23
g5674_II7555_B,74,23,23
g378_g4167_A,26,14,13
g774_g1691_B,7,57,6
g784_g1716_C,7,67,7
g619_g2846_A,3,16,6
g478_g3905_B,100,152,28
g148_g4928_A,58,18,18
g166_g4937_A,47,18,18
g386_g5419_A,58,23,23
g390_g5487_A,2,14,10
g3974_II5647_A,100,179,20
g4762_II6659_A,100,17,15
g5669_II7543_A,48,23,23
g5676_II7562_B,80,23,23
g5680_II7576_B,100,23,23
g965_g4813_B,5,105,16
g496_g5157_A,3,59,13
g457_g5187_A,3,59,15
g465_g5197_A,3,59,16
g749_g2095_B,100,142,35
g4877_II8118_D,3,57,15
g4967_II8119_C,3,57,16
g4877_II8127_D,3,57,15
g4967_II8128_C,3,57,16
g4877_II8136_D,3,59,15
g545_g3758_A,19,36,19
g323_g3899_A,6,4,4
g457_g4377_A,21,22,21
g184_g4947_A,39,18,18
g760_g6737_B,100,108,29
g766_g1573_C,100,142,35
g3589_II5187_A,100,17,15
g3974_II5648_A,100,179,20
g3983_II5657_A,100,179,20
g3836_II5759_A,5,82,8
g4874_II6962_A,12,16,13
g5674_II7557_A,69,23,23
g5676_II7564_A,77,23,23
g5678_II7571_A,77,23,23
g5680_II7578_A,86,23,23
g6188_II8194_B,100,113,36
g188_g3953_B,23,24,23
g582_g4874_A,3,16,12
g528_g5189_A,3,61,16
g586_g5194_A,5,16,13
g4980_II7971_D,3,61,14
g4980_II7980_D,3,54,14
g4967_II8137_D,3,59,16
g4877_II8209_D,3,61,15
g6188_II8196_A,100,113,36
g719_g1595_B,100,142,39
g729_g1595_A,100,142,35
g866_g1359_A,100,85,23
g398_g4185_A,26,14,13
g858_g4903_B,73,21,18
g3589_II5188_A,100,17,15
g3983_II5658_A,100,179,20
g4874_II6963_A,12,16,13
g79_II7569_A,31,23,23
g489_g1449_A,3,4,4
g889_g1417_B,47,31,31
g965_g1575_B,100,105,67
g628_g4199_A,3,16,9
g578_g4708_A,3,16,11
g536_g4759_A,100,55,54
g193_g4949_A,39,18,18
g378_g5484_A,2,14,10
g754_g6736_B,100,108,28
g297_g2955_B,100,83,58
g4993_II7971_B,3,61,16
g4993_II7980_B,3,54,16
g5997_II8117_D,2,57,12
g5997_II8126_D,2,57,12
g5997_II8135_D,2,59,12
g357_g3499_A,5,11,6
g398_g5357_A,4,14,13
g179_g5378_A,25,18,12
g366_g5398_A,64,23,23
g398_g5429_A,55,23,23
g386_g5486_A,2,14,10
g815_g6739_B,100,118,36
g328_g6848_B,100,74,26
g3968_II5647_B,100,179,20
g3957_II5766_B,100,17,15
g952_g4877_A,17,105,30
g6194_II7969_A,2,61,10
g6194_II7978_A,2,54,10
g6194_II7987_A,2,54,10
g766_g1595_C,100,142,35
g639_g5926_B,100,16,16
g858_g1784_A,100,100,100
g449_g4389_A,21,22,21
g394_g5488_A,2,14,10
g5997_II8208_D,2,61,12
g3968_II5649_A,100,179,20
g3957_II5768_A,100,17,15
g952_g4967_B,9,105,23
g4877_II7970_D,3,61,15
g4967_II7971_C,3,61,15
g4950_II7979_C,3,54,15
g4967_II7980_C,3,54,15
g4950_II7988_C,3,54,15
g5975_II8079_C,7,59,16
g5958_II8079_B,8,59,16
g719_g1689_B,7,57,6
g478_g3928_B,13,152,10
g809_g6738_B,100,109,28
g996_g4816_A,5,105,16
g669_g5386_B,100,17,17
g766_g1689_A,7,57,6
g798_g2294_C,7,54,9
g3979_II5657_B,100,179,20
g866_g2795_B,47,31,31
g3979_II5659_A,100,179,20
g5678_II7569_B,94,23,23
II2003,100,89,46
II2021,100,89,50
II2110,2,3,3
II4010,100,97,64
g889_g1784_B,100,100,100
II2003_II2004_B,100,89,56
II2021_II2022_B,100,89,55
II2003,100,89,61
II2013,100,89,46
II2021,100,89,56
II2300,17,11,11
g889_g1398_B,51,103,31
g4980_II7989_D,3,54,14
g5997_II8079_D,2,59,12
II2003_II2005_B,100,89,56
II2021_II2023_B,100,89,60
II2004,100,89,60
II2013,100,89,55
II2022,100,89,58
II2301,5,11,7
II4210,22,54,10
II2005,100,89,58
II2013_II2014_B,100,89,55
II2014,100,89,55
II2023,100,89,53
II2060,100,21,12
II3400,9,9,8
II5300,100,113,28
g5975_II7969_C,100,61,28
g5958_II7969_B,100,61,28
g5975_II7978_C,23,54,21
g5958_II7978_B,25,54,21
g5975_II7987_C,23,54,21
g5958_II7987_B,23,54,21
g4993_II7989_B,3,54,16
II2013_II2015_B,100,89,55
II4040,8,14,7
II2015,100,89,57
II2060,100,21,12
II3411,5,5,5
II4203,18,54,9
II4211,4,54,10
II5300,100,113,28
II2108_II2110_B,2,3,3
II2061,100,21,12
II2080,100,21,12
II3411,2,5,5
II4150,13,9,9
II4203,4,54,10
II4212,19,54,10
II5301,100,113,28
g4877_II7979_D,3,54,15
g4877_II7988_D,3,54,15
g4967_II7989_C,3,54,15
II8120,5,57,17
II5302,100,113,28
II8210,13,61,19
II2062,100,21,12
II2072,100,21,12
II2080,100,21,12
II2108,3,3,3
II3125,36,14,14
II3412,2,5,5
II4150,5,9,9
II4204,4,54,9
II7210,36,18,18
II8201,100,123,36
II4008_II4010_B,100,97,64
II4008,100,97,64
II2060_II2061_B,100,21,12
II5300_II5301_B,100,113,28
g102,100,112,111
II8211,5,61,16
II2072,100,21,12
II2081,100,21,12
II2090,100,21,12
II2108,2,3,3
II2244,3,3,3
II3125,17,14,13
II3170,100,21,12
II3413,4,5,5
II4160,2,6,6
II4205,17,54,9
II4233,18,54,9
II6500,100,173,30
II7230,83,18,18
II7311,15,16,15
g111,25,93,5
II8201,100,123,36
g500_II2003_A,100,89,54
II4008,100,97,64
II7311,2,16,16
II2060_II2062_B,100,21,12
II5300_II5302_B,100,113,28
g310,100,103,103
g102,100,112,112
g301,100,100,99
II2073,100,21,12
II2082,100,21,12
II2091,100,21,12
II2109,2,3,3
II2244,2,3,3
II2506,100,21,12
II2542,7,59,6
II3126,16,14,14
II4152,13,9,9
II4161,5,6,6
II4233,4,54,10
II5242,100,179,20
II6501,100,173,27
II7230,41,18,18
g111,25,93,5
II8202,100,123,36
g1001_g2101_A,17,105,27
II4009,100,97,64
II7312,2,16,15
g5997_II7969_D,2,61,12
g5997_II7978_D,2,54,12
g5997_II7987_D,2,54,12
g212_II2003_B,100,89,55
g500_II2004_A,100,89,55
g610_II2110_A,2,3,3
II3411_II3412_B,2,5,5
II4203_II4204_B,4,54,10
g310,100,103,103
g301,100,100,99
g410,100,77,21
g230,100,141,48
g500,100,102,74
g212,100,141,60
II2074,100,21,12
II2245,2,3,3
II2506,100,21,12
II2542,13,59,10
g131,54,97,15
II3127,17,14,13
II3190,10,57,8
II4234,4,54,9
II5207,100,17,15
II5242,100,179,20
II6026,100,179,20
II7223,76,18,18
II7231,47,18,18
II7520,87,23,23
II8203,100,123,36
II9050,100,74,26
II5351,100,82,51
II5360,100,83,52
g212_II2005_A,100,89,63
II3411_II3413_B,2,5,5
II4203_II4205_B,4,54,10
g122,6,4,4
g114,21,97,15
g123,37,109,12
g402,100,79,21
g410,100,77,21
g230,100,141,48
g500,100,102,78
g212,100,141,59
II2246,2,3,3
II2507,100,21,12
II2526,7,59,6
II2543,4,59,6
g131,29,97,15
II3740,9,11,11
II4182,21,54,10
II4235,17,54,9
II5207,100,17,15
II5226,100,179,20
II5243,100,179,20
II5270,100,179,20
II5307,100,123,28
II6026,100,179,18
II7223,45,18,18
II7232,28,18,18
II7313,14,16,15
II7520,65,23,23
II9050,100,74,26
II5352,100,82,52
II8080,7,59,19
II7440,2,16,16
II2080_II2081_B,100,21,12
II4150_II4151_B,5,9,9
g114,20,97,15
g123,39,109,12
g430,100,82,21
g402,100,79,21
II1951,100,89,51
g520,100,99,64
g3,6,21,1
g610,3,16,2
II2508,100,21,12
II2526,13,59,10
II2544,4,59,6
II3445,10,57,7
II3741,13,11,9
II4444,6,6,6
II4920,2,8,8
II5208,100,17,15
II5226,100,179,20
II5244,100,179,20
II5271,100,179,20
II5307,100,123,28
II6027,100,179,18
II7216,73,18,18
II7224,43,18,18
II7432,25,18,17
II7521,39,23,23
II9051,100,74,26
II8081,9,59,22
II8135,19,59,25
II8126,23,57,27
II8117,61,57,33
II3914,100,97,65
II5308,100,123,28
II7432,3,18,16
II2080_II2082_B,100,21,12
g341_II2301_A,5,11,7
II4150_II4152_B,5,9,9
g331,6,4,4
g314,100,103,102
g107,100,99,27
g323,28,51,20
g332,100,100,31
g430,100,82,21
g422,100,75,21
II8360,41,59,42
II1951,100,89,55
g520,100,99,73
II1961,100,89,50
g242,100,141,58
g512,100,100,76
g224,100,141,60
g260,100,141,61
g3,6,21,1
g602,2,16,2
g610,3,16,2
g341,100,51,21
II2527,4,59,6
g710,25,97,15
II2681,4,4,4
II2933,21,11,11
II3445,10,57,10
II3455,10,57,7
II4183,4,54,10
II4444,2,6,6
